Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
11.4,gini,6,128,100,0.9417,0.0004,0.9996,0.0583,0.0005,0.8843,275.501
11.5,gini,6,128,100,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,245.722
12.1,gini,6,128,200,0.9106,0.0004,0.9996,0.0894,0.0005,0.8809,254.06
12.2,gini,6,128,200,0.9268,0.0004,0.9996,0.0732,0.0005,0.8877,264.528
12.3,gini,6,128,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,273.229
12.4,gini,6,128,200,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,278.869
12.5,gini,6,128,200,0.9256,0.0004,0.9996,0.0744,0.0005,0.8809,282.459
13.1,gini,7,32,100,0.9024,0.0004,0.9996,0.0976,0.0006,0.8775,249.736
13.2,gini,7,32,100,0.925,0.0004,0.9996,0.075,0.0005,0.8775,187.057
13.3,gini,7,32,100,0.9127,0.0004,0.9996,0.0873,0.0005,0.8911,182.04
13.4,gini,7,32,100,0.925,0.0004,0.9996,0.075,0.0005,0.8775,208.099
13.5,gini,7,32,100,0.9055,0.0004,0.9996,0.0945,0.0005,0.8911,208.683
14.1,gini,7,32,200,0.918,0.0004,0.9996,0.082,0.0005,0.8809,267.702
14.2,gini,7,32,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,280.872
14.3,gini,7,32,200,0.918,0.0004,0.9996,0.082,0.0005,0.8809,283.019
14.4,gini,7,32,200,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,283.132
14.5,gini,7,32,200,0.9256,0.0004,0.9996,0.0744,0.0005,0.8809,282.864
15.1,gini,7,64,100,0.9333,0.0004,0.9996,0.0667,0.0005,0.8809,275.172
15.2,gini,7,64,100,0.9194,0.0004,0.9996,0.0806,0.0005,0.8877,279.099
15.3,gini,7,64,100,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,250.604
15.4,gini,7,64,100,0.9098,0.0004,0.9996,0.0902,0.0006,0.8775,209.601
15.5,gini,7,64,100,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,189.49
16.1,gini,7,64,200,0.9194,0.0004,0.9996,0.0806,0.0005,0.8877,316.396
16.2,gini,7,64,200,0.918,0.0004,0.9996,0.082,0.0005,0.8809,259.76
16.3,gini,7,64,200,0.9268,0.0004,0.9996,0.0732,0.0005,0.8877,247.905
16.4,gini,7,64,200,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,252.618
16.5,gini,7,64,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,262.049
17.1,gini,7,128,100,0.9339,0.0004,0.9996,0.0661,0.0005,0.8843,233.806
17.2,gini,7,128,100,0.9344,0.0004,0.9996,0.0656,0.0005,0.8877,207.614
17.3,gini,7,128,100,0.9344,0.0004,0.9996,0.0656,0.0005,0.8877,218.914
17.4,gini,7,128,100,0.9421,0.0004,0.9996,0.0579,0.0005,0.8877,264.402
17.5,gini,7,128,100,0.9417,0.0004,0.9996,0.0583,0.0005,0.8843,206.92
18.1,gini,7,128,200,0.935,0.0004,0.9996,0.065,0.0005,0.8911,370.36
18.2,gini,7,128,200,0.935,0.0004,0.9996,0.065,0.0005,0.8911,299.069
18.3,gini,7,128,200,0.9417,0.0004,0.9996,0.0583,0.0005,0.8843,288.132
18.4,gini,7,128,200,0.9344,0.0004,0.9996,0.0656,0.0005,0.8877,289.007
